,Target_Column,Num_Layers,Nodes,Stepmax,Learning rate,Avg_Accuracy,,RF4 avg accuracy,RF3 avg accuracy,RF2 avg accuracy
66,54,1,100,1.00E+06,1.00E-04,0.86,,,,
69,54,1,100,1.00E+06,0.001,0.86,,,,
72,54,1,100,1.00E+06,0.01,0.86,,,,
75,54,1,100,1.00E+06,0.1,0.87,,,,
78,54,1,120,1.00E+06,1.00E-05,0.86,,,,
81,54,1,120,1.00E+06,1.00E-04,0.86,,,,
84,54,1,120,1.00E+06,0.001,0.86,,,,
87,54,1,120,1.00E+06,0.01,0.86,,,,
90,54,1,120,1.00E+06,0.1,0.86,,,,
93,54,1,140,1.00E+06,1.00E-05,0.88,,,,
96,54,1,140,1.00E+06,1.00E-04,0.87,,,,
99,54,1,140,1.00E+06,0.001,0.87,,,,
102,54,1,140,1.00E+06,0.01,0.86,,,,
105,54,1,140,1.00E+06,0.1,0.86,,,,
108,54,1,160,1.00E+06,1.00E-05,0.86,,,,
111,54,1,160,1.00E+06,1.00E-04,0.86,,,,
114,54,1,160,1.00E+06,0.001,0.85,,,,
117,54,1,160,1.00E+06,0.01,0.86,,,,
120,54,1,160,1.00E+06,0.1,0.86,,,,
123,54,1,180,1.00E+06,1.00E-05,0.86,,,,
126,54,1,180,1.00E+06,1.00E-04,0.86,,,,
129,54,1,180,1.00E+06,0.001,0.86,,,,
132,54,1,180,1.00E+06,0.01,0.86,,,,
135,54,1,180,1.00E+06,0.1,0.86,,,,
138,54,1,200,1.00E+06,1.00E-05,0.88,,,,
141,54,1,200,1.00E+06,1.00E-04,0.87,,,,
144,54,1,200,1.00E+06,0.001,0.86,,,,
147,54,1,200,1.00E+06,0.01,0.86,,,,
150,54,1,200,1.00E+06,0.1,0.86,,,,
153,54,2,20,1.00E+06,1.00E-05,0.84,,,,
156,54,2,20,1.00E+06,1.00E-04,0.86,,,,
159,54,2,20,1.00E+06,0.001,0.86,,,,
162,54,2,20,1.00E+06,0.01,0.86,,,,
165,54,2,20,1.00E+06,0.1,0.86,,,,
168,54,2,40,1.00E+06,1.00E-05,0.88,,,,
171,54,2,40,1.00E+06,1.00E-04,0.88,,,,
174,54,2,40,1.00E+06,0.001,0.88,,,,
177,54,2,40,1.00E+06,0.01,0.88,,,,
180,54,2,40,1.00E+06,0.1,0.87,,,,
183,54,2,60,1.00E+06,1.00E-05,0.86,,,,
186,54,2,60,1.00E+06,1.00E-04,0.86,,,,
189,54,2,60,1.00E+06,0.001,0.86,,,,
192,54,2,60,1.00E+06,0.01,0.86,,,,
195,54,2,60,1.00E+06,0.1,0.86,,,,
198,54,2,80,1.00E+06,1.00E-05,0.86,,,,
201,54,2,80,1.00E+06,1.00E-04,0.85,,,,
204,54,2,80,1.00E+06,0.001,0.85,,,,
207,54,2,80,1.00E+06,0.01,0.85,,,,
210,54,2,80,1.00E+06,0.1,0.86,,,,
213,54,2,100,1.00E+06,1.00E-05,0.84,,,,
216,54,2,100,1.00E+06,1.00E-04,0.86,,,,
219,54,2,100,1.00E+06,0.001,0.86,,,,
222,54,2,100,1.00E+06,0.01,0.86,,,,
225,54,2,100,1.00E+06,0.1,0.86,,,,
228,54,2,120,1.00E+06,1.00E-05,0.86,,,,
231,54,2,120,1.00E+06,1.00E-04,0.87,,,,
234,54,2,120,1.00E+06,0.001,0.87,,,,
237,54,2,120,1.00E+06,0.01,0.87,,,,
240,54,2,120,1.00E+06,0.1,0.87,,,,
243,54,2,140,1.00E+06,1.00E-05,0.86,,,,
246,54,2,140,1.00E+06,1.00E-04,0.86,,,,
249,54,2,140,1.00E+06,0.001,0.86,,,,
252,54,2,140,1.00E+06,0.01,0.87,,,,
255,54,2,140,1.00E+06,0.1,0.87,,,,
258,54,2,160,1.00E+06,1.00E-05,0.87,,,,
261,54,2,160,1.00E+06,1.00E-04,0.86,,,,
264,54,2,160,1.00E+06,0.001,0.86,,,,
267,54,2,160,1.00E+06,0.01,0.87,,,,
270,54,2,160,1.00E+06,0.1,0.87,,,,
273,54,2,180,1.00E+06,1.00E-05,0.86,,,,
276,54,2,180,1.00E+06,1.00E-04,0.88,,,,
279,54,2,180,1.00E+06,0.001,0.88,,,,
282,54,2,180,1.00E+06,0.01,0.88,,,,
285,54,2,180,1.00E+06,0.1,0.88,,,,
288,54,2,200,1.00E+06,1.00E-05,0.88,,,,
291,54,2,200,1.00E+06,1.00E-04,0.88,,,,
294,54,2,200,1.00E+06,0.001,0.88,,,,
297,54,2,200,1.00E+06,0.01,0.88,,,,
300,54,2,200,1.00E+06,0.1,0.88,,,,
303,54,3,20,1.00E+06,1.00E-05,0.86,,,,
306,54,3,20,1.00E+06,1.00E-04,0.86,,,,
309,54,3,20,1.00E+06,0.001,0.86,,,,
312,54,3,20,1.00E+06,0.01,0.86,,,,
315,54,3,20,1.00E+06,0.1,0.86,,,,
318,54,3,40,1.00E+06,1.00E-05,0.89,,,,
321,54,3,40,1.00E+06,1.00E-04,0.88,,,,
324,54,3,40,1.00E+06,0.001,0.87,,,,
327,54,3,40,1.00E+06,0.01,0.87,,,,
330,54,3,40,1.00E+06,0.1,0.87,,,,
333,54,3,60,1.00E+06,1.00E-05,0.87,,,,
336,54,3,60,1.00E+06,1.00E-04,0.88,,,,
339,54,3,60,1.00E+06,0.001,0.88,,,,
342,54,3,60,1.00E+06,0.01,0.88,,,,
345,54,3,60,1.00E+06,0.1,0.87,,,,
348,54,3,80,1.00E+06,1.00E-05,0.88,,,,
351,54,3,80,1.00E+06,1.00E-04,0.86,,,,
354,54,3,80,1.00E+06,0.001,0.87,,,,
357,54,3,80,1.00E+06,0.01,0.87,,,,
360,54,3,80,1.00E+06,0.1,0.87,,,,
363,54,3,100,1.00E+06,1.00E-05,0.9,,,,
366,54,3,100,1.00E+06,1.00E-04,0.88,,,,
369,54,3,100,1.00E+06,0.001,0.88,,,,
372,54,3,100,1.00E+06,0.01,0.89,,,,
375,54,3,100,1.00E+06,0.1,0.89,,,,
378,54,3,120,1.00E+06,1.00E-05,0.92,,,,
381,54,3,120,1.00E+06,1.00E-04,0.91,,,,
384,54,3,120,1.00E+06,0.001,0.9,,,,
387,54,3,120,1.00E+06,0.01,0.9,,,,
390,54,3,120,1.00E+06,0.1,0.89,,,,
393,54,3,140,1.00E+06,1.00E-05,0.9,,,,
396,54,3,140,1.00E+06,1.00E-04,0.89,,,,
399,54,3,140,1.00E+06,0.001,0.88,,,,
402,54,3,140,1.00E+06,0.01,0.88,,,,
405,54,3,140,1.00E+06,0.1,0.88,,,,
408,54,3,160,1.00E+06,1.00E-05,0.9,,,,
411,54,3,160,1.00E+06,1.00E-04,0.89,,,,
414,54,3,160,1.00E+06,0.001,0.88,,,,
417,54,3,160,1.00E+06,0.01,0.88,,,,
420,54,3,160,1.00E+06,0.1,0.88,,,,
423,54,3,180,1.00E+06,1.00E-05,0.88,,,,
426,54,3,180,1.00E+06,1.00E-04,0.89,,,,
429,54,3,180,1.00E+06,0.001,0.89,,,,
432,54,3,180,1.00E+06,0.01,0.89,,,,
435,54,3,180,1.00E+06,0.1,0.88,,,,
438,54,3,200,1.00E+06,1.00E-05,0.9,,,,
441,54,3,200,1.00E+06,1.00E-04,0.9,,,,
444,54,3,200,1.00E+06,0.001,0.9,,,,
447,54,3,200,1.00E+06,0.01,0.9,,,,
450,54,3,200,1.00E+06,0.1,0.9,,,,
